time,problem_id,problem_rating_at_time,problem_rating_now,type,av_secs,seconds,after_first,user_rating,user_rating_change,correct,wrong_move,num_moves,is_mate,non_winning,user_rd,tags
2015-01-14 02:18:07+00,53863,954.815,942.907,Blitz,17.4945,3,0,1314.99,4.131,1,-,1,true,false,78.3899,Exposed King:7
2015-01-14 02:17:57+00,114253,1013.94,1016.34,Blitz,18.1075,7,1,1310.86,5.90722,1,-,2,false,false,79.9502,"Fork:4,Mate Threat:1"
2015-01-14 02:17:41+00,61795,1164.92,1184.23,Blitz,21.8612,13,1,1304.95,12.3907,1,-,2,false,false,81.5431,"Distraction:17,Mate Threat:12,Overloading:9,Sacrifice:7,Zwischenzug:7,Hook and Ladder:2,Gain of Tempo:1,Removing the Guard:1"
2015-01-14 02:17:21+00,50878,1171.31,1154.53,Blitz,15.1794,7,0,1292.56,14.0518,1,-,2,true,false,83.5377,"Exposed King:7,Coercion:6"
2015-01-14 02:17:07+00,25916,1033.84,1034.46,Blitz,16.6038,8,1,1278.51,8.66353,1,-,2,false,false,85.777,"Fork:9,Exposed King:5"
2015-01-14 02:16:52+00,131721,1016.6,1077,Blitz,26.1876,7,4,1269.85,8.68102,1,-,3,false,false,87.4914,"Advanced Pawn:5,Defensive Move:3,Discovered Attack:1"
2015-01-14 02:16:36+00,51606,1205.33,1158.19,Blitz,11.1786,9,0,1261.17,20.5541,1,-,2,true,false,89.2415,"Back Rank Mate:10,Coercion:6"
2015-01-14 02:16:11+00,50740,1263.89,1228.22,Blitz,31.9533,37,0,1240.62,-24.5301,0,1.Rg6,2,false,false,92.2551,Trapped Piece:23
2015-01-14 02:15:27+00,92302,1078.68,1045.63,Blitz,16.2092,5,0,1265.15,14.2374,1,-,2,false,false,95.6405,"Fork:11,Exposed King:4,Needs More Moves...:4"
2015-01-14 02:15:11+00,53774,1142.18,1046.79,Blitz,15.6213,8,1,1250.91,21.0117,1,-,2,false,false,98.5894,"Zwischenzug:10,Hanging Piece:5,Weak Back Rank:3,Fork:2"
2015-01-14 02:14:51+00,19557,1270.79,1221.31,Blitz,16.4024,39,0,1229.9,-29.1373,0,-,1,false,false,102.485,"Hanging Piece:12,Unsound Sacrifice:1"
2015-01-14 02:14:02+00,99641,979.005,938.473,Blitz,22.2799,12,3,1259.04,11.6418,1,-,2,false,false,107.196,"Hanging Piece:7,Discovered Attack:4,Discovery:1"
